org,classification,source,Dataset_ids,Occurrences,WeightedOccurrences
Fisheries and Oceans Canada,public,oceanexpert_id,"['98c3e560-cb7c-4ed2-b17a-0f71f9f2ee57', '87495025-e242-4ed8-a89e-9f189b666bbe', '6bcb07d5-b0e7-4ab0-b0ab-739e0b04356c', '5463caa4-b929-477f-ae6c-7007b6d91baa', '172bfa9a-ada7-48cf-aecd-8508c6128b7d', '735d8b98-5b8b-43eb-96f4-8bcbdfd97201', 'b86ad124-78ff-4553-9af4-6226d0c2bd49', 'f4d1e85c-a6b6-4497-b5ae-c019bc71a199', '28621175-b49c-4fbf-9f60-9b82d78b7b0c', '45e4536f-5d11-41a6-be5b-464653e419f1', '81ace119-09fd-467e-8f6e-74ca29b01634', '24e96d02-8909-4431-bc61-8cf8eadc9b7a', 'bdbfda38-c0fd-483c-85eb-4202baff1e52', '5e6ee2aa-8155-452b-97e3-14d2835c85a0', 'd2916eda-91c1-4c15-8dab-51da044595a4', '604310ab-706b-49b4-84d1-31f0bc578528', '16dbb774-6c19-4891-834e-0a9cad30c10b', '5061d21c-6161-4ea2-a8d4-38f8285dfc47', '7b6fa45f-e4fd-4e40-a537-97eb2f63c690', 'd895e645-a98d-4720-b6fb-332929190f36', '09939bb8-6425-4e05-9e54-f55d03f6c762', 'befd3ee1-5957-4884-a286-00d41069b38f', 'd960ffd3-ef52-49cc-b424-8322a9d0f16e', '50f636cf-9dd4-4cb8-84a3-7105393bfdd7', '471fe91a-2d5f-4651-b76b-e1e9cdba9940', '98400b39-b5f9-4b7a-833c-9e62dfcd1c1e', '872bb654-ad87-4947-a5e8-bb4f1eec021a', 'f843542b-57aa-45a1-8a37-ae770b47a932', 'd648e5d9-4b4e-46a1-90b6-0fe8380ada2e', 'bbf8695c-634c-468f-a4c8-7c0bea9b857b', '60cfb9fb-dbbf-4fcf-86a7-dda5343aadee', 'd3e87cba-02d1-4609-8edf-8b5b1109230e', '3e35bf95-1d9d-4953-8b25-69d56574182c', 'f3e2bdd3-d495-421a-9182-92432ef24c79', 'e34900cf-712b-4098-b846-c7cf19628d38', '3647fa54-d652-4bd6-96a8-011a2a1c78f2', '02ce69ec-e57c-4228-bed0-71bd83311e05', '4b5e4ccb-cf66-44e4-8890-fa68f8404c3f', '1b14f4a2-95ea-47d0-94fd-a1d3b1c6a4bf', '0cf83323-3c95-43c5-9c19-e89e48a2e3b7']",5208503,2716.7272727272725
Florida Fish and Wildlife Commission,public,rag,"['5702d4da-3041-4601-94f7-7a2e3c6e722c', 'bcd1a4f5-c99b-404d-b01a-47e8a5d80e2b']",164994,0.0
WWF Italy's Sea Turtle Network,public,manual,"['982690d2-6f22-4753-a748-89528833d5da', '7b521ef5-2753-4811-b946-eb03f959575e', '843ab046-de61-4367-8285-972aff54a3a4']",118,0.0
Acquario di Genova,private,oceanexpert_id,['9695cec2-07b7-4337-8213-0b2045af5e8f'],160,53.33333333333332
Universidad de Salamanca,public,baseline,['8590681c-4cba-4857-bf00-3553c31fa1fa'],160,0.0
Black Bawks Data Science,private,rag,['b4be83a5-101d-4a82-80dd-b8a39c8026f2'],4608,1535.9999999999995
Aldabra Marine Programme,public,manual,['d69eb127-cb98-49e3-9657-538417957f78'],695,0.0
Caribbean Coastal Ocean Observing System,public,oceanexpert_id,"['0ec403c9-23b3-4529-ae51-8a0877f22450', '575e393f-4b35-4dc0-8d49-c04e3a9ce5ec', '52f99f08-fc90-4684-aea8-a015150968ea']",246226,0.0
IMEDEA (CSIC-UIB),public,rag,['0c02d1bc-07fa-4f16-838f-50755a61e703'],962,0.0
Coonamessett Farm Foundation,public,manual,['0801a5a2-66e3-441c-83a3-25f0ef0fc0f5'],3484,0.0
Bulgarian Academy of Sciences; Institute of Oceanology; Marine Biology and Ecology,public,baseline,['3e0cb90b-7037-4255-bfd0-222c0a0ed0fb'],24747,0.0
Loxton et al.,outlier,manual,['9d5d07ef-4f64-480e-9ece-96d5132b9f6e'],28,0.0
"Marine Geospatial Ecology Lab, Duke University",public,oceanexpert_id,[],0,0.0
NOAA Atlantic Oceanographic and Meteorological Laboratory (AOML),public,rag,['210efc7c-4762-47ee-b4b5-22a0f436ef44'],311229,0.0
Facultad de Ciencias Naturales y Oceanográficas,public,rag,"['e593e720-3260-406c-b3d1-7baaf402c5a6', 'fcce0330-1874-4403-9adf-1cc899b59221']",96,0.0
AQUABIOSFERA S.A.S.,private,manual,"['04741378-3eb3-4674-8ac6-298643ec3ba4', '56ec9691-75c7-4d30-bd66-773e05ca98d8', '2ff9fccd-c762-4d09-80ad-7403c93241f6', 'ea845d5b-a60c-4669-86e1-5124583d614f', '52e86e3a-583f-4218-9c1a-ecd232d165af', 'fc8addee-5e44-43b6-bb8b-5dd54d04023a']",1611,437.74999999999994
Koninklijk Museum voor Midden Afrika,public,baseline,['a79abf38-3677-4e43-8422-0509b937a128'],380,0.0
Washington Department of Fish &amp; Wildlife,public,rag,"['3885e0d6-db85-4484-af25-80b7514f7be3', '42334eea-fbf8-4b1e-9e62-85008bcc3bf6', 'af43ae80-11b6-467a-a902-822ba33377d8', '1123992d-bdd3-4fc4-ae83-aa3938a53781', 'e35fcf81-e749-4bf5-a22c-b6e1cad8cbea', '65879312-2a5b-4c60-bc9b-97ab9e105336', '208d760e-7a45-44ce-889e-f2d8b144858a', 'b8021b2a-6b27-4833-aa19-91631595c397', 'b91527ef-521d-4e8c-aeec-e554118a6618', '4f047510-f0e4-4eed-a89f-25a2ca5c2754', '07d39abf-bd4a-4d8b-8deb-4adc77a7458b', '3e0eb6f8-2704-4369-be11-d3d58e9f1bd2', 'ba91e513-7bed-4d1a-ba5a-0cd926b76b46', 'e83229a8-2533-4cb3-a4cc-a00c20c43c1d', '50543b86-2e32-4ac6-9bd9-bb33bb48cbbc', '9da3adbe-be36-4dc2-bc7a-3f3fbc98de80', '8fa23a26-1655-4577-86d2-713dae162cab', 'd3949eb1-ad8f-44fc-8e44-46c5f138126f', '6f0c8bfd-e76a-4d4f-b5e5-6c3983d6067b', 'e22b7277-2eb7-4e2f-8111-219ed29174db', '8eeabc8b-33f9-46e9-80bb-dcb6e504c24b']",469201,0.0
Canadian Wildlife Service - Atlantic Region,public,oceanexpert_id,"['e5d5eb76-532a-48c4-9d02-705f68486ebb', '51391fb1-ae4d-44d8-9178-a06f95545604']",223509,0.0
University of Crete; Department of Biology,public,baseline,['db07ed8a-5f8a-436a-8b3c-5d63e93b6d84'],787,0.0
National Natural History Museum Paris; Service du Patrimoine naturel,public,baseline,"['9a81d405-545b-4a1b-bdaa-aff5350a0c39', '1083ddbc-ef6e-45a2-845f-cc5264f42e7a', 'ab908e10-4c36-4c26-8218-4a9a939578d9']",25517,0.0
University of Lodz,public,baseline,"['bc004aa7-fb6f-433f-a783-5c05b4e2cd15', 'f5cca63c-2842-4146-b095-7d34e7aef236']",2006,0.0
"Kochi University, Laboratory of Aquatic Environmental Science",public,baseline,['995a6ef6-5c55-4b07-ad4e-d3fa29a2eb47'],246,61.5
TMAG,public,manual,['553553ad-fc0f-4a7e-a97f-1a336ac7513a'],1059,0.0
International Society for the Study of Harmful Algae,public,manual,"['81877dae-94bd-42ee-8754-17e91dc7c1db', '042dd549-775a-4441-ac7b-02c715497daa', '0cdfa946-e400-494f-97d5-1282ee22e403', '64d5206e-6823-410a-a327-4913588a251f', '7d33ede8-265b-46ea-94a3-c890386e4c00', '1796755f-18ea-44bf-98d6-8b76c991004b', 'a6bdc455-3253-4e8e-9c45-25f880c305bb', '5a967235-7e1b-4bcd-a1f8-cd185d4bc0f8']",15,0.0
North Carolina Renewable Ocean Energy Program,public,rag,['0bc630d4-2ce0-427e-a1cf-3324ca19cb1d'],1,0.0
Corporación Regional del Atlántico,public,manual,"['88d5c457-b5e3-47d8-92c6-caea8e0ac67b', '22f3a057-258d-49b7-8ecf-e5233d53d72d']",3380,0.0
US DOI; National Park Service (NPS),public,baseline,"['5702d4da-3041-4601-94f7-7a2e3c6e722c', 'bcd1a4f5-c99b-404d-b01a-47e8a5d80e2b']",164994,0.0
Universidade Federal do Espírito Santo,public,oceanexpert_id,"['78819b2f-fee1-4b51-84ad-6b3777a06ea7', '6b3b0a89-8273-40d1-a129-3d20e7feae03', '833957cc-d3b8-418d-b45a-6b185d84a88e', '21c4fa9f-5e99-4532-bfd0-4c7271048154', '6df39f8a-56ef-466c-a7d5-ad765aeba173', '3d7d3835-5d09-4c2e-b2be-645c6449eed9', '16fbf0e3-a1bf-4541-8b04-bd354678f276', '0ea4bbdc-050a-4329-a21a-002d45b91656', 'bd657dbe-cc8f-4a89-85a5-c62d185ba4b2', 'd80e376f-daaf-4cf0-b802-c302768beb4d', 'f41fa14f-53ae-4b2b-b64f-e8c7cf79eac6', 'c204e975-113e-4150-862e-03648294ded8', '7a083ebc-8265-4e71-a189-01e84a52b163', '364d246e-08b2-4b52-b755-696e55321084']",15611,0.0
"Université de La Rochelle, Centre d'Etudes Biologiques de Chizé",public,oceanexpert_id,"['e6efac0e-b4e4-4306-9d1c-a8c991d92dff', 'a75ada17-6a55-4266-a1e8-158c5cebd55e', 'e08b177f-b3a2-4158-9be9-dd012eab4a0d', '89a80ca4-b804-4224-82f3-e3028f1e6720', '78541fb8-936c-4fda-9b06-3831f61a2b43', 'ead750c0-f9ed-4c63-9927-ba06f8a84772', '48cb8624-a221-47ed-9a6d-b99b0bb394e0']",2592555,155439.66666666666
Universidad Nacional - Sede Caribe,public,baseline,['1a42b0c7-e99c-4510-8cbb-25a82dac09e4'],120,0.0
"Sea Mammal Research Unit, University of St. Andrews",public,baseline,"['27291387-588a-489a-870b-c1ba7b182825', '65c1bbe4-fcc1-49cf-9fac-7bf8f4040ef4', '9c893879-88a2-4bf9-9373-ecb6c594cf45', '2792f68d-84fa-40ad-a9a1-1ae976b98e38', '55a44483-5a4b-4148-9336-da18c045d31c', '8b18ef25-fe25-45e9-978f-0f4c462ce2f8']",6599,0.0
SharkBase,public,manual,['a198615f-05a3-4543-adc0-5a03ff1ba8f0'],660,0.0
Johann Heinrich von Thünen-Institut; Institute of Sea Fisheries,public,baseline,['cc8f28ce-e48d-4945-abfe-9d150a22dcd6'],7056,0.0
"School of Biological, Earth and Environmental Sciences (BEES), The University of New South Wales (UNSW)",public,baseline,['b74f72f3-cc3d-42b2-aa01-930d5ad4f9c2'],43862,0.0
"Oceans Graduate School and UWA Oceans Institute, The University of Western Australia",public,baseline,['54b8e280-f0e8-472e-88b2-a4969e39b5c8'],31,0.0
Massachusetts Institute of Technology (MIT),public,baseline,['aefc0943-90a0-4b2b-9689-3d88711d945a'],25,0.0
Turtle Awareness and Protection Studies,public,manual,['c129e329-280d-4490-a8ff-df8322269229'],31,0.0
National Institute of Biology Marine Biological Station Piran,public,baseline,['38235f13-d31b-43cf-b4c2-a21adbf69f90'],1062,0.0
Universidad Autónoma de Nuevo León,public,baseline,['a77de2cc-0e3f-485b-8c87-eb0545423957'],3874,0.0
Bras d’Or Lake Biosphere Reserve Association,public,manual,['cce047ce-e38f-4007-b5f1-1eb4ec203879'],6,0.0
WCS Colombia,public,manual,['f7eab7eb-9081-4bac-82ac-db33530e797a'],116,0.0
"Department of Zoology, University of Hawaii",public,baseline,['9be8f8cc-71e8-443b-91d2-2d09ad517a56'],22,0.0
"Museum of New Zealand, Te Papa Tongarewa",public,baseline,['5cefe6a4-68f1-43c9-8f1b-4d857454f1c2'],2,0.0
University of Central Florida; Department of Biology,public,oceanexpert_id,[],0,0.0
Sveriges meteorologiska och hydrologiska institut,public,oceanexpert_id,"['1f15159f-6d35-4c3f-86e8-b3a89041ea33', 'a326b7a3-1e74-4ae9-95d4-6b38d889cbe9', '0459e8f2-6ad3-47ef-b740-2e7b24d97a72', 'd28b4411-1710-4b08-9ec7-99b8c68ae4b2', '222daba8-52fe-4bf7-87b0-23ee0312ecdb', 'eafd68c8-af31-4609-b7c8-34d1bccfecc5', 'e4234681-4822-4490-9113-bdac90911dca', '58420107-111e-41f9-bcb7-d8abd65a7c1b', '114176b9-951c-4760-b802-bd22f1981185', '2d2deee0-b592-4426-ab82-503b6bccc00d', 'e48a88fd-5088-494a-bd2d-02f5a047441d', '037063c4-faa0-482b-86d5-2811786b2fea', '04730108-3137-483a-9281-8b53c4d2869a', 'f1ad2d12-8f7e-4b56-848c-ffa9c6103eb1', 'be61dad8-c6d9-49fa-a203-91898031c1a2', '28b3b579-c7d1-43ad-8cf6-3e5d6b3b2016', 'ed506f13-4064-49b6-ac48-e9f3860c28ac', 'babb19f7-e258-4d4e-8423-b6e6b8255fe6', 'd8bfad4d-f013-460d-a0f5-e04d53bc5cde']",1825813,0.0
U.S. Geological Survey – Menlo Park Campus,public,oceanexpert_id,['585d686c-b216-4343-b548-ddc7a9286487'],14787,0.0
Senckenberg Research Institute — German Centre for Marine Biodiversity Research,public,oceanexpert_id,['ccd6e783-32be-4026-8ed8-0b9ca265aeb1'],5892,0.0
Museum of Tropical Queensland,public,oceanexpert_id,"['6051a664-1504-401b-97a8-a3e508abe5e7', '6078be2d-e1af-47b3-bd70-3956dd95f664']",49521,0.0
APEM Limited,private,manual,"['079c4d0e-48e7-401d-a137-23a6cba0addd', '60984932-a0bf-4838-9134-6ff99143c165', 'cd28a3e1-f146-4638-85ae-a5ea6b739144']",10672,7114.666666666665
Fraunhofer AICOS,public,manual,['3f871238-07df-4757-a790-aeb866ba9eed'],3195,0.0
Federal University of Rio Grande do Norte,public,baseline,['3736d588-2964-4be9-97c4-bcfdd071c2fe'],3923,0.0
DMPM,private,manual,['1a9a4e57-5a9d-4dfa-af84-900010f64b79'],210,210.0
"Department of Biology and Ecology, Faculty of Science, University of Ostrava",public,baseline,['bd4d319e-4735-4c2d-b96b-d5b482bc71f3'],4,0.0
Federal Government of the United States of America; Department of Commerce; National Oceanic and Atmospheric Administration; National Marine Fisheries Service; Pacific Islands Fisheries Science Center Coral Reef Ecosystem Division (NOAA-CRED),public,oceanexpert_id,[],0,0.0
Arta Fisheries Department,public,oceanexpert_id,['83167474-710c-47da-81b8-486898b0c1dd'],409,0.0
"CSIR – National Institute of Oceanography, Regional Centre - Kochi",public,baseline,['32b93d97-38b1-4f58-8b75-0aaf786bf55b'],385,0.0
Główny Inspektorat Ochrony Środowiska (GIOŚ),public,oceanexpert_id,"['e8c2a9de-09d9-4301-a5f6-9af5eaa1ed12', '11ca6599-6a0c-4de2-9790-b37853dbd7b3', 'c21f2063-3856-4003-859b-f44c270c9fc7', 'f5825142-2c9f-49d8-8c78-18bd318ec279']",44206,0.0
"Tel Aviv University, Department of Zoology",public,oceanexpert_id,['45fd60a8-cd81-4d04-b8e0-39c8fa75e4f8'],13941,0.0
University of California Los Angeles,public,oceanexpert_id,"['fbf4cb59-cef3-43be-b0ab-0dbab5f51740', '438b8f02-3421-4b2c-a5b2-5934ab76f47b', 'c9aaa0e9-8f6c-4553-a014-a857baba0680']",87791,0.0
University of León,public,baseline,['faa8ba52-0bdd-4fbf-ba2c-054aadaff072'],155,0.0
Laboratoire Biogéosciences (UMR CNRS/uB 6282),public,oceanexpert_id,"['a5ad32e4-c108-45f4-a1da-04b4310b2218', '375d7789-8635-4e61-9556-60532577d393', 'ccabcf81-9789-4cf1-ada4-684f038804a0']",14551,0.0
University of St Andrews,public,baseline,"['946a04da-69e3-4255-8dcd-13b5a70b6152', '8bdef59c-7d03-4033-afc3-21b46015781c', '257e07eb-3ac1-4dcf-a47b-afe285020064', '80d12cdc-b97d-44b8-8a38-bed0bc54590f']",1476,0.0
Fundación Colombia Azul,public,manual,"['714266aa-123b-43b7-98a8-0529ac7f7c4c', '01222525-5c04-4735-8eaa-d31533a48c4f', '8e3cd1db-c8ce-44b1-bb26-8c06421304ca', 'b60d18ca-25a0-4be2-b3c6-e42bf58140e5']",535,0.0
"School of Biology and Ecology, University of Maine",public,baseline,['5ef55cd8-05a1-4569-8e17-ceb224e40f59'],519,64.875
University of  São Paulo Instituto Oceanográfico (IOUSP),public,baseline,['b0d7e03e-36b9-439d-9eda-b87b0c614e73'],2296,0.0
Institut Français de Recherche pour l'Exploitation de la Mer; Centre de Nantes; DYNECO - Service Valorisation de l’Information pour la Gestion Intégrée et la Surveillance,public,baseline,['966c15b3-e0ea-4fa6-8c7b-92955d668bf2'],3320,1106.6666666666665
Universidad Autonóma de Yucatán (UADY),public,baseline,['1de8b1fe-8847-4e4f-9140-cfa6dab91e4c'],380,0.0
"Dirección General Marítima, Centro de Investigaciones Oceanográficas e Hidrográficas del Caribe",public,rag,['5a4d7cc8-f997-4314-a0bc-df9f9969c017'],505,0.0
Queen Mary University of London School of Biological and Chemical Sciences,public,baseline,['e49dedf8-a5e6-4af0-81e9-16e0e4e5502e'],9,0.0
Institut de la Mer de Villefranche,public,oceanexpert_id,"['af5cffee-635c-42b7-80df-9dbca0143e20', 'dfdd80fe-1f64-4926-bc75-a639b6ec5925', '5803e1ae-b493-4174-83ed-260363d08047', '36144583-0ec3-43af-8f73-0b2f9407bd65', 'e8f6f42e-0e33-4382-9998-9a178eac3191', '67c16cec-808b-419d-9dd5-c1ca685af89c', 'f180f1e9-817b-49f7-b5f4-04e1cc193f48', 'ac30f88b-7d4d-4f3c-8204-ac362dc0feb5']",107111,0.0
Department of Parks and Wildlife,public,rag,['88f140b4-efbb-43f6-bbd9-631174bc5f8e'],20960,0.0
Tasmanian Museum and Art Gallery – Collections and Research Facility,public,oceanexpert_id,"['0b6fd326-7ec6-487a-a386-b4e0d655d3ef', '5e5197d2-8a17-49c3-9197-758091a2cc48']",64129,0.0
Korea Ocean Research & Development Institute,public,oceanexpert_id,['790f9ddf-433c-4e47-aa6c-ccef0b8634fa'],25907,0.0
Pennsylvania State University,public,oceanexpert_id,"['23edb7d9-db57-4898-9a8e-5e866b46de56', '926c3278-ca1a-495b-80d0-fbf494f54699']",883,0.0
TGS-NOPEC Geophysical Company,private,manual,"['27f259f7-db48-48fe-8003-832804fcf365', '4b394534-8a6b-4bdb-bf1b-f07f983f9e37']",570,379.9999999999999
Universidad de Valparaíso,public,baseline,['7afba27f-8547-4899-829e-b4bd25765322'],297,24.749999999999993
Corporación para el Desarrollo Sostenible del Departamento Archipiélago de San Andrés Providencia y Santa Catalina - CORALINA,public,rag,['714266aa-123b-43b7-98a8-0529ac7f7c4c'],244,0.0
University of Cape Town; Department of Zoology,public,baseline,"['7b411a8c-1b9e-44c5-b8d3-cd614281c032', '16c29553-c90b-4865-8d45-55de3286b4e0', 'a60f84ee-0e25-428e-b171-16686b554702']",202631,0.0
Australian Museum,public,oceanexpert_id,"['dee11aa0-8173-490d-8f70-9d3806a8c076', 'e9844e8f-a6bc-4638-8e8c-1383c07f0cc4', '517ac935-af0f-4358-88fb-7093015182af', '9dfaef79-f9ac-4866-9718-6bd6a76f28ae', 'f072e2e5-6b80-4eb4-9806-0f4c3d2fe3b4', 'c5017efe-c392-48ca-9826-7fe23220fe90', 'a0737a06-66ef-41e7-9458-9c05f53340b5', '58bb5aa2-2939-48d5-9015-b18706e26425', 'dd7b09c3-137c-443d-a145-2401f400c441', '0e4e4700-5e70-48b1-b100-d6b05888dfa9']",658495,0.0
Ghent University,public,oceanexpert_id,[],0,0.0
Commonwealth Scientific and Industrial Research Organisation ,public,oceanexpert_id,"['2a26be49-372e-42b0-894c-65ecfedb99cc', '3db646e3-ca43-4496-8bb2-15803fb140b4', '31931936-77cc-4562-a775-b1553fe7ffe8', '86bb1f4b-4f2a-4f58-9b38-f300b0bbb3e4', '98861cd3-daf5-4da9-9eca-d442d652750d', '4fd52bef-1d35-4e06-8281-7213b6dde690', '33bd3b4d-12fc-4041-bae0-f0e053a4090b', 'b1d4a459-7648-4254-97f5-68a5180c2820', '4d69d344-5038-4338-abfc-058b96385655', '24394dcd-1fbb-4ec1-9e17-21e52ea95d35']",80190,0.0
Universidade Federal do Rio de Janeiro (UFRJ),public,baseline,['f5cf3e40-6586-427e-b335-36690170c698'],328,0.0
Pontificada Universidad Javeriana,public,baseline,['edc098b2-8b70-4f61-a86b-4955414bdd07'],150,0.0
High North Research Centre for Climate and the Environment,public,oceanexpert_id,"['a97def2e-3a89-4a40-83c3-82ed18859ed1', 'f7328e9a-79f6-40e1-8805-530c1e61a181', '877a23ca-4950-4237-a405-be49217cfc94', 'b99832a1-320a-48b0-8a54-a01409a321af', 'af201b38-f32e-4213-a901-fe16c5423a2a']",18404,4647.8
Museo del Mar de Ceuta,public,baseline,['baa2fd15-8103-4153-acaa-268bd41e5462'],710,0.0
"Gobernación Departamental del Archipiélago de San Andrés, Providencia y Santa Catalina",public,manual,['7a673089-50f3-4e17-9ad2-8493d261d84c'],623,0.0
Bangor University,public,baseline,['d7b8383e-4476-4e9e-89c5-c1bd0352c1d9'],6534,0.0
Russian Academy of Sciences; Zoological Institute of RAS White Sea Biological Station,public,baseline,['843d3c1f-d82a-4ebd-b5f9-299706f04789'],9213,0.0
Seacare,private,manual,['c9ef0ee7-2aa4-416e-8ba1-4b7863a67542'],294,147.0
Belfast Harbour,private,manual,['612d0fa9-74df-4cef-9205-b1a945c55d8b'],1503,500.9999999999999
Natural Environment Research Council,public,baseline,['5d632542-ccd1-4dc0-b84a-22885c0601ee'],2342,0.0
ISYEB,public,rag,['2b47cfee-0233-4bd8-8f12-58a2fc3c5556'],200,0.0
Tern Again Consulting,private,rag,['9c3e1803-61db-48fb-94fd-24ea5a17ba8b'],643,183.7142857142857
ACAP Saint John - Atlantic Coastal Action Program,public,rag,['78ac5402-ed2e-4d85-8362-42a546619b48'],986,0.0
Agencia Internacional de Cooperación Alemana,public,baseline,['5bac0fd0-82cd-47df-bb58-a7fe226194ac'],1838504,0.0
WWF Colombia,public,manual,"['f7a02493-91f7-4c2f-bc9f-252735260780', 'cc50d8e4-a00f-4ab7-b058-f1a4cc37f948', '5c391d75-65ef-47b9-abbb-769ab587e819', 'ae867564-1201-4e20-93f3-c7c08e93a420', 'c77c9375-3337-4789-a8b4-dd9e28ce71cd', 'fd9414c1-228a-4a3c-9cf3-c9e1eab1f491', '3e266456-c269-4007-b0d3-1a51926d817b', 'adaebaa5-073a-4902-b723-b7446195c310']",9830,1426.8974358974356
Universita degli Studi di Padova — Dipartimento di Geoscienze,public,oceanexpert_id,['7cd87ad7-b7fb-45f5-b7b9-5c6d4187067a'],375,0.0
Bulgarian Academy of Sciences,public,baseline,['bc8a1d7f-d394-4cb4-9b32-12f4cf12e930'],344,0.0
Bundesanstalt für Geowissenschaften und Rohstoffe (BGR) in Hannover,public,oceanexpert_id,"['b4853d39-b86a-43b3-9ad4-b8e84d95fd6a', '93de658a-9e25-47f8-811d-0e6365b0f6d7', 'f8e06264-301f-4623-b960-9b81b0e0c002', '2ee46af7-fd89-48ac-9e65-8ee4c2eafafb', '13f1645c-e753-4d0e-b40c-d380c18bf50d', '669598f8-9875-43d5-96d5-a8404904002d', 'a914e242-0f35-4233-a9c5-429f7288631d', '0fd63ab8-597b-4205-b94d-01ae38431cc6', '6f017f69-5d59-4253-b73d-d9338cc51646', '78abd3fb-c9be-4b02-86ee-5eacd05e9d32', 'fd7ade64-1931-4542-a92f-2b9d56ee295f', '0aa9762f-8b38-4515-bd49-f287a4feffd5', 'bcd3a958-2fd8-4f8a-b5f7-88e690e36187', '48b53def-46f8-4e6f-9fae-fb4d90a24fd1']",11488,0.0
Houston Advanced Research Center,public,manual,"['3ab72305-4c52-443f-9cbe-d83c7b947807', 'ddc5a74e-79b0-4ed7-a8de-ceed75bc341e', '890296ce-bf63-4656-b8de-dc80d5680c53', '2ecb5b5d-bb72-4a69-955c-6477ec86522f', '5a39f604-b31f-49c1-acb6-e9a4f97e236f', '0fe15290-30c3-4caa-a8e9-0c194ff6b84f', '9b38b0d6-7f0a-4a73-b492-746619b6de2d', '2be28ad4-42ca-4371-b8c6-37f684aca258', '486e05c5-ad55-4273-956d-5acc1b3f3922', '04017518-c9c6-4801-a1c9-8019618c9b0d', '2022bab1-37b3-4c15-8de8-ba8d68c3da71', 'c7243636-85ff-4c99-8b5e-bb0a7dcb9e78', 'dcb057b5-c33a-4289-b709-2fc75555fcb0', 'ff4fbad2-4dc2-4eda-804c-d0e1b12eb842', '6ec96298-c3de-4767-9467-8ef2e486b5a7', '89b18767-2942-49a8-97d1-1ffc9ffb6587', '47c0ed62-9a73-4bdc-a154-e53b788a9534', '56b8f5a4-3912-4be7-9cbe-ef46e3e4946b', 'b58c4257-5756-4090-b15d-e33d1f0d85cc', '3e3924b8-8754-433d-8e52-01842d8f04b6', 'c0bf85d7-a728-452d-9762-877ad6240a8f']",633661,0.0
Universidade Federal de Santa Catarina,public,oceanexpert_id,"['0681f804-ea29-4fef-a9d9-ba617ea76d0d', '4d8f1db5-182b-40a0-b73d-edd8edd50469', 'afe4f593-fa5c-4e03-85c1-44d8effcce9f', '3736d588-2964-4be9-97c4-bcfdd071c2fe', '7949d5c3-15f9-4380-ac9f-29d01a4842ce', '7331b723-da84-496c-a6b9-2e413b51e464']",164810,0.0
"Department of Evolution, Systematics and Ecology, the Hebrew University",public,baseline,['45fd60a8-cd81-4d04-b8e0-39c8fa75e4f8'],13941,0.0
Universidad del Mar,public,baseline,['de803590-9afc-4340-8fdc-49d5b2454657'],146,0.0
Laboratory for Polar Ecology,public,oceanexpert_id,['b3bdb08f-0f29-4a81-b85e-90e114a8fda6'],4048,0.0
