dataset_id,Data providers,Contact Organizations,Total Occurrences
d014eb61-7226-4edd-a4b4-3045283f2848,"['Instituto de Investigaciones Marinas y Costeras José Benito Vives de Andreis', 'Corpoguajira', 'Instituto de Ciencias del Mar y Limnología, Universidad Nacional Autónoma de México', 'Instituto de Investigaciones Marinas y Costeras José Benito Vives de Andréis', 'MHNMC']","['Corpoguajira', 'Corpoguajira', 'Instituto de Investigaciones Marinas y Costeras - Invemar', 'Corpoguajira', 'Instituto de Investigaciones Marinas y Costeras - Invemar', 'Instituto de Investigaciones Marinas y Costeras - Invemar', 'Instituto de Investigaciones Marinas y Costeras - Invemar', 'MHNMC', '', '', 'Instituto de Investigaciones Marinas y Costeras José Benito Vives de Andréis', 'Instituto de Ciencias del Mar y Limnología, Universidad Nacional Autónoma de México', '', '', '', '']",9
de87c3a3-cf49-42a3-8fb5-049447a1e4ef,"['British Antarctic Survey', 'Koninklijk Belgisch Instituut voor Natuurwetenschappen']","['British Antarctic Survey', 'British Antarctic Survey', 'Royal Belgian Institute of Natural Sciences', 'British Antarctic Survey']",27969
62ddad25-2a19-485d-9bae-7eb3a40a71c5,['UNESCO-IOC'],"['IOC-UNESCO', 'IOC-UNESCO', 'IOC-UNESCO', 'IOC-UNESCO', '']",10449
39410dab-c077-4334-8faa-7530baf8d96a,"['Department of Zoology, University of Otago', 'Marine Conservation Unit, Department of Conservation', 'School of Biological Sciences, University of Canterbury']","['Department of Zoology, University of Otago', 'School of Biological Sciences, University of Canterbury', 'Department of Zoology, University of Otago', 'School of Biological Sciences, University of Canterbury', 'Marine Conservation Unit, Department of Conservation', 'School of Biological Sciences, University of Canterbury', 'Department of Zoology, University of Otago', 'Department of Zoology, University of Otago', '']",19
4c06df3f-cbb1-4f3e-aba1-42fc99c35af0,"['Duke University', 'CSIRO-Bardi Jawi Turtle Tracking', 'SEATURTLE.ORG']","['Bardi Jawi Turtle Tracking', 'Bardi Jawi Turtle Tracking', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Bardi Jawi Turtle Tracking', 'seaturtle.org', '']",42
a35e13ec-1b51-4763-bf99-9f6d3a6e6bef,"['Duke University', 'SEATURTLE.ORG', 'Tracking Sea Turtles in the Riviera Nayarit, Mexico.']","['Tracking Sea Turtles in the Riviera Nayarit, Mexico.', 'Tracking Sea Turtles in the Riviera Nayarit, Mexico.', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Tracking Sea Turtles in the Riviera Nayarit, Mexico.', 'seaturtle.org', '']",30
0ba361c3-f0d8-488f-a1bc-de56de072891,"['Duke University', 'SEATURTLE.ORG', 'Stellwagen']","['Stellwagen', 'Stellwagen', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Stellwagen', 'seaturtle.org', '']",1586
4fdab4b3-63f0-450c-b992-69bd27ded8b8,"['Duke University', 'SEATURTLE.ORG', 'Marymount University and Hawksbill Hope in Belize']","['Marymount University and Hawksbill Hope in Belize', 'Marymount University and Hawksbill Hope in Belize', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Marymount University and Hawksbill Hope in Belize', 'seaturtle.org', '']",70
5bfbfd4b-38c6-4cc5-8eed-660652012617,"['Duke University', 'SEATURTLE.ORG', 'Aubrey Strydom']","['Aubrey Strydom', 'Aubrey Strydom', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Aubrey Strydom', 'seaturtle.org', '']",81
5f6740b4-817c-402e-a0d9-758e6a8b7ff6,"['Aqua y terra', 'C&amp;C consultores ambientales', 'COTEMA', 'Puerto Bahía Colombia de Urabá S.A']","['Puerto Bahía Colombia de Urabá S.A', 'Puerto Bahía Colombia de Urabá S.A', 'Puerto Bahía Colombia de Urabá S.A', 'Aqua y terra', 'COTEMA', 'Puerto Bahía Colombia de Urabá S.A', 'C&amp;C consultores ambientales', 'Puerto Bahía Colombia de Urabá S.A', 'Puerto Bahía Colombia de Urabá S.A', 'Puerto Bahía Colombia de Urabá S.A', 'Puerto Bahía Colombia de Urabá S.A']",1576
a68e2a15-2ab2-474e-acc3-e7fbc895711c,"['Duke University', 'KYMA sea conservation &amp; research', 'The Agreement on the Conservation of Cetaceans of the Black Sea, Mediterranean Sea and contiguous Atlantic Area (ACCOBAMS) and Whale and Dolphin Conservation Society (WDCS)']","['KYMA sea conservation &amp; research', 'KYMA sea conservation &amp; research', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'KYMA sea conservation &amp; research', 'The Agreement on the Conservation of Cetaceans of the Black Sea, Mediterranean Sea and contiguous Atlantic Area (ACCOBAMS) and Whale and Dolphin Conservation Society (WDCS)', '']",263
1817ebad-8a31-4152-861a-f17ce5374e6f,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",3
45eb51c1-053a-4306-83c8-c837b6526c13,['Fisheries and Oceans Canada – Bedford Institute of Oceanography'],"['Fisheries and Oceans Canada', 'Fisheries and Oceans Canada', 'Fisheries and Oceans Canada', 'Fisheries and Oceans Canada', '']",320
742abe79-3fbd-49a1-b5f5-f0934ec6801b,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",2
3d80aefa-fa7e-4c9c-a778-4d8d3c65a8eb,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",2
e34fbc6f-3fa2-42f0-be10-5aa4512127c7,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",2
b06015c1-d2fe-4a20-8325-1a500857bec7,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",28
2cf7b061-8bf1-4556-a8c2-e45727efc6ac,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",5
b1ac0dba-fef5-43e0-836e-05b9c8497b49,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",6
3c59e9b2-15d1-4b40-80b0-f08d8293d551,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",7
9fa01f07-d884-4c07-918c-93755657b8d3,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",28
dd373824-81ef-4085-b562-aa674a975c85,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",24
53b8980c-63dd-43ea-9a62-bbbff5ee9606,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",2
cd1898cc-29aa-4b85-8b89-ed81900fe166,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",4
e7ecd40e-311c-4cc6-800a-235dc8e31fd1,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",43
85a55afa-8057-4019-8b43-93ed063d66be,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",125
47c5a2bd-a37b-4b39-80aa-0bf79d198479,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",2
87b7f1a0-d11b-41ef-9d8f-73c358ad5256,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",2
956be403-42a2-4f7e-a27b-3de891216503,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",6
45b4833e-f40a-4c99-94a9-7bf707ae6ba9,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",3
6dead477-5f55-4eeb-b5f4-f37c1da1b941,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",3
6b28884d-c25e-4c0f-acf9-28eb17804ec5,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",8
ba04a697-44fb-4464-916c-93383998ced9,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",22
885a485e-cfde-40a4-bd0c-1bb7d0e94478,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",16
7e99e83d-c34b-442f-877b-bc946faf247b,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",18
34eff95c-ac71-46c1-9305-c602512dd549,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",224
d323a6ad-9b69-425e-8c58-a1781efdd00a,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",38
c63eaeb7-9514-4cf7-9e87-d97197278dbb,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",16
4d6e4425-ca39-42b6-ad14-0a928c30e8f4,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",31
4d51c94e-8c7e-4a75-bda7-ec38912cd52d,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",890
080b9486-a998-4372-97e5-1f58cb65b49d,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",32
2d82f586-08b8-4c51-9444-fe307bc293e9,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",27
c8789d12-1285-4e6c-9e5d-fedbed348e36,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",31
dee16491-77f0-4987-8f80-513e4505b14b,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",18
a4b730f1-5434-4c62-a1cb-466e4b95b647,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",22
4c9552cc-9ba5-4d41-be19-3e397f8bacf1,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",210
03dc7648-e915-45b8-ab5b-b3a16a3664b4,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",57
d38666d1-f138-4533-b8e3-02505f1f1d9b,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",801
80aaa9c9-9a7e-4e08-9f92-2b01fedf643b,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",207
2fd01957-420e-4f45-8c4b-3bd6ac60f1c4,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",41
6df306da-31d0-47f5-bb1b-4b084d03d7f1,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",1271
988cd984-9166-44ab-83fb-e98ffe5735ef,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",135
06753239-bb3d-4bfd-8ab4-4ad4f629fd6d,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",170
f18fd24a-a6e1-447c-98c6-98116ab69d07,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",61
ad98bfa6-84b1-4d2d-8acc-46ffec4bf818,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",132
44b8bce1-0b7e-4f56-bfcf-70c4705b0165,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",47
19b17aa1-83e9-4121-bd1b-e21966acdd0d,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",513
ca49c384-f0d2-4315-a894-4d54c137efd5,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",19
91f57b7c-10ad-44c4-9fc8-3fa80e8dbf26,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",1
15fb6ea8-a98e-4379-8093-ad843daaf6bc,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",1
99214340-d443-46de-b037-c34082d55e26,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",1
7d11d7b9-c98e-4e18-b697-617b054ad5ce,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",2
29183497-67b7-464b-a62c-5caaee5095f5,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",6
2f1e09ed-1096-411e-89f4-adca973ffd2f,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",4
26443a25-30e4-4189-a8e3-b982fd14a866,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",5
8d014833-75bb-49e5-9700-2cf7104f30f6,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",24
e31406eb-bf39-4993-a9a1-51cfe39da569,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",2823
48f23946-6f54-4c4f-9cd5-5444712e1435,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",27
5eaa3423-1bbb-4472-805a-aeb3bb81b7d0,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",35
19accb3e-6b35-4155-94f6-d914c231cf62,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",28
a464ff9a-9756-49fd-b1ab-e7a7b9c5b95d,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",51
82aa35e0-038f-4737-9db3-eec80d47a978,"['Duke University', 'Happywhale']","['Happywhale', 'Happywhale', 'Marine Geospatial Ecology Lab, Duke University', 'Marine Geospatial Ecology Lab, Duke University', 'Happywhale', 'happywhale.com', '']",12
